incident,case_number,time_reported,date_reported,location,university,time_occurred,date_occurred
Theft by Unlawful Taking,16-01937,00:56,2016-06-06,POSVAR HALL/FORBES QUAD / 230 SOUTH BOUQUET ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01938,02:45,2016-06-06,NO BLDG. # ENTERED / 4400 CENTRE AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,16-01940,11:50,2016-06-06,SALK HALL/DENTAL SCHOOL / 3501 TERRACE ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Simple Assault,16-01942,14:36,2016-06-06,FORBES AND BIGELOW / INTERSECTION FORBES & BIGELOW,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01947,03:34,2016-06-07,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,16-01950,09:40,2016-06-07,CHEVRON SCIENCE CENTER / 219 PARKMAN AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01951,10:48,2016-06-07,CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01952,12:24,2016-06-07,O’Hara Student Center / 4024 O'HARA ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01953,15:39,2016-06-07,POSVAR HALL/FORBES QUAD / 230 SOUTH BOUQUET ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01955,15:42,2016-06-07,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Begging,16-01959,17:41,2016-06-07,FORBES AND ATWOOD / INTERSECTION ATWOOD ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
VCO Open Container,16-01958,18:47,2016-06-07,200 BLOCK ATWOOD / 200-300 ATWOOD ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01960,19:34,2016-06-07,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,16-01961,21:38,2016-06-07,PETERSEN EVENTS CENTER / 3719 TERRACE ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Hit & Run - Personal Injury or Death,16-01963,21:47,2016-06-07,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01962,22:12,2016-06-07,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Harassment/Threat,16-01964,00:02,2016-06-08,PETERSEN EVENTS CENTER / 3719 TERRACE ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01965,00:13,2016-06-08,POSVAR HALL/FORBES QUAD / 230 SOUTH BOUQUET ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Violates City Ordinance,16-01966,00:50,2016-06-08,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01967,01:21,2016-06-08,LAW SCHOOL / 3900 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01968,09:09,2016-06-08,FRICK FINE ARTS / 4128 SCHENLEY DR,University of Pittsburgh-Pittsburgh Campus,NA,NA
Hit & Run - Unattended Vehicle/Property,16-01970,10:26,2016-06-08,PETERSEN SPORTS COMPLEX / 395 ROBINSON ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01973,20:57,2016-06-08,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01974,12:27,2016-06-09,BELLEFIELD HALL / 315 SOUTH BELLEFIELD AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01978,17:03,2016-06-09,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01985,01:23,2016-06-10,NO BLDG. # ENTERED / CENTRE AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,16-01984,01:50,2016-06-10,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01986,10:20,2016-06-10,SALK HALL/DENTAL SCHOOL / 3501 TERRACE ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01988,12:59,2016-06-10,CRAIG HALL / 200 SOUTH CRAIG ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Hit & Run - Unattended Vehicle/Property,16-01991,15:49,2016-06-10,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01998,15:26,2016-06-11,UPMC/PRESBYTERIAN HOSPITAL / 200 LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02000,01:37,2016-06-12,NO BLDG. # ENTERED / BAYARD,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Assault,16-02001,03:51,2016-06-12,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02002,16:22,2016-06-12,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,16-02011,17:03,2016-06-13,NO BLDG. # ENTERED / 300,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02013,02:01,2016-06-14,UPMC/PRESBYTERIAN HOSPITAL / 200 LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Aggravated Assault with No Weapon,16-02014,04:21,2016-06-14,UPMC/PRESBYTERIAN HOSPITAL / 200 LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02017,11:52,2016-06-14,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft of Bicycle,16-02020,15:14,2016-06-14,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Begging,16-02024,21:56,2016-06-14,FORBES AND ATWOOD / INTERSECTION ATWOOD ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,16-02027,18:40,2016-06-15,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02030,01:37,2016-06-16,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02032,07:57,2016-06-16,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02035,10:41,2016-06-16,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02037,19:00,2016-06-16,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02038,19:46,2016-06-16,SOLDIERS AND SAILORS / 5TH AND BIGELOW,University of Pittsburgh-Pittsburgh Campus,NA,NA
Indecent Assault,16-02042,11:46,2016-06-17,HILLMAN LIBRARY / 3960 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02044,21:44,2016-06-17,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,16-02045,23:54,2016-06-17,FIFTH/BIGELOW / 400O BLOCK FIFTH AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02046,01:09,2016-06-18,NO BLDG. # ENTERED / CENTRE AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,16-02049,16:41,2016-06-18,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,16-02051,02:15,2016-06-19,FORBES AVE 3900 / 3900 BLOCK FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02052,02:42,2016-06-19,FORBES AND BIGELOW / INTERSECTION FORBES & BIGELOW,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02053,05:24,2016-06-19,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02055,14:50,2016-06-19,Family House / 116 THACKERAY ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-02057,22:59,2016-06-19,COST SPORTS CENTER / 365 ROBINSON ST EXT,University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,16-02058,23:12,2016-06-19,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,16-02059,03:24,2016-06-20,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02060,03:44,2016-06-20,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,16-02062,12:26,2016-06-20,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-02061,12:56,2016-06-20,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assault Hopital Employee,16-02063,14:20,2016-06-20,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02065,16:50,2016-06-20,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-02070,01:02,2016-06-21,CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02073,01:24,2016-06-21,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Public Drunkenness,16-02075,02:48,2016-06-21,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft By Deception,16-02080,11:45,2016-06-21,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,16-02081,12:08,2016-06-21,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft By Deception,16-02082,13:38,2016-06-21,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02087,20:28,2016-06-21,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,16-02088,23:39,2016-06-21,OAKLAND AVE 100-300 BLOCK / OAKLAND AVE 100-300 OAKLAND AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Marijuana - Possess (Intent to Deliver),16-02089,00:18,2016-06-22,FIFTH/BIGELOW / 400O BLOCK FIFTH AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02092,15:30,2016-06-22,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Stalking,16-02093,17:25,2016-06-22,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02096,19:12,2016-06-22,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02098,21:23,2016-06-22,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02099,02:46,2016-06-23,NO BLDG. # ENTERED / MCKEE PL,University of Pittsburgh-Pittsburgh Campus,NA,NA
Public Drunkenness,16-02101,06:49,2016-06-23,FORBES AND ATWOOD / INTERSECTION ATWOOD ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-02102,08:37,2016-06-23,GSPH/CRABTREE/PARRAN HALL / 130 DE SOTO ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Harassment/Threat,16-02104,09:12,2016-06-23,GSPH/CRABTREE/PARRAN HALL / 130 DE SOTO ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Sex Offense,NA,12:59,2016-06-23,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-02106,13:31,2016-06-23,THAW HALL / 3943 O'HARA ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02108,16:33,2016-06-23,LEASED PROPERTY PARK PLAZA / 128 N CRAIG ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02110,02:10,2016-06-24,LOTHROP ST / LOTHROP LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Assault,16-02112,04:01,2016-06-24,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Retail Theft,16-02113,07:06,2016-06-24,100 BLOCK ATWOOD / 100-200 ATWOOD ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02117,18:33,2016-06-24,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Hit & Run - Unattended Vehicle/Property,16-02122,14:48,2016-06-25,SUTHERLAND DRIVE / SUTHERLAND SUTHERLAND DR.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Violates City Ordinance,16-02126,20:46,2016-06-25,MAGEE WOMEN'S HOSPITAL / FORBES & HALKET,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02128,23:26,2016-06-25,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Firearms not to be Carried w/o a License,16-02127,00:00,2016-06-26,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02130,02:39,2016-06-26,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02133,20:05,2016-06-26,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Smell of Marijuana,16-02134,00:51,2016-06-27,LITCHFIELD TOWER C / 3955 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-fire or explosive/endanger prop,16-02135,01:37,2016-06-27,CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02136,07:15,2016-06-27,SHADYSIDE HOSPTIAL / 5230 CENTRE AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02141,22:34,2016-06-27,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-02145,16:50,2016-06-28,HOLLAND HALL / 3990 FIFTH AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Public Drunkenness,16-02146,20:36,2016-06-28,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assault Hopital Employee,16-02148,04:02,2016-06-29,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,16-02149,05:52,2016-06-29,UPMC/PRESBYTERIAN HOSPITAL / 200 LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Harassment by Communication,16-02152,09:12,2016-06-29,IRVIS HALL / 3825 UNIVERSITY DR.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Robbery,16-02156,23:37,2016-06-29,NO BLDG. # ENTERED / 354 SEMPLE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Attempted Theft,16-02157,01:17,2016-06-30,POLICE SUBSTATION (SOUTH) / FORBES AVE FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02158,02:44,2016-06-30,UPMC/PRESBYTERIAN HOSPITAL / 200 LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Begging,16-02161,16:05,2016-06-30,FORBES AVE 3700 / 3700 BLOCK FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02167,01:16,2016-07-01,FIFTH/BIGELOW / 400O BLOCK FIFTH AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency - Conduct Referral,16-02169,08:29,2016-07-01,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Retail Theft,16-02170,09:22,2016-07-01,200 BLOCK ATWOOD / 200-300 ATWOOD ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02175,00:28,2016-07-02,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02177,02:51,2016-07-02,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,16-02178,03:26,2016-07-02,NO BLDG. # ENTERED / 326 MEYRAN AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02186,00:10,2016-07-03,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Possession of small amount of Marijuana,16-02185,00:14,2016-07-03,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02187,02:21,2016-07-03,NO BLDG. # ENTERED / ATWOOD ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02190,11:56,2016-07-03,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft from a Motor Vehicle,16-02194,21:12,2016-07-03,SOLDIERS AND SAILORS / 4101 FIFTH AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02195,23:48,2016-07-03,NO BLDG. # ENTERED / 234 MEYRAN AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02199,05:52,2016-07-04,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02201,22:26,2016-07-04,UPMC/PRESBYTERIAN HOSPITAL / 200 LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02202,23:03,2016-07-04,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02203,00:34,2016-07-05,NO BLDG. # ENTERED / 312 S.BOUQUET,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-02207,09:14,2016-07-05,WEBSTER HALL / 101 N. DITHRIDGE ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02209,13:15,2016-07-05,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02213,01:04,2016-07-06,COLLEGE GARDEN APARTMENTS / 5830 ELWOOD ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02212,01:28,2016-07-06,NO BLDG. # ENTERED / 3233 DAWSON STREET,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02215,03:30,2016-07-06,200 BLOCK ATWOOD / 200-300 ATWOOD ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-02223,16:39,2016-07-06,NO BLDG. # ENTERED / 3520,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02228,02:05,2016-07-07,ALLEQUIPPA AND ROBINSON / 3400 BLOCK ALLEQUIPPA ST. ENTRANCE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02230,10:08,2016-07-07,MAGEE WOMEN'S HOSPITAL / FORBES & HALKET,University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,NA,11:37,2016-07-07,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Drug Violation,NA,11:40,2016-07-07,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Weapons Violation,NA,11:45,2016-07-07,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02233,14:07,2016-07-07,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02235,17:19,2016-07-07,MAGEE WOMEN'S HOSPITAL / FORBES & HALKET,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02242,19:08,2016-07-08,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assault Hopital Employee,16-02243,21:29,2016-07-08,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02246,06:09,2016-07-09,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02253,14:50,2016-07-10,SHADYSIDE HOSPTIAL / 5230 CENTRE AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02256,22:54,2016-07-10,3400 BLOCK FORBES / 3400-3500 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02258,00:10,2016-07-11,FORBES AND ATWOOD / INTERSECTION ATWOOD ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,16-02259,05:55,2016-07-11,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02265,12:48,2016-07-11,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02267,18:51,2016-07-11,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02270,22:37,2016-07-11,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02273,00:43,2016-07-12,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Public Drunkenness,16-02279,14:14,2016-07-12,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Terroristic Threats,16-02280,15:31,2016-07-12,PETERSEN EVENTS CENTER / 3719 TERRACE ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02285,05:37,2016-07-13,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02289,14:15,2016-07-13,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Motor Vehicle Parts and Accessories,16-02292,07:06,2016-07-14,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Harassment by Communication,16-02294,11:59,2016-07-14,CLAPP HALL / 4249 FIFTH AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Attempted Theft,16-02295,12:56,2016-07-14,IRVIS HALL / 3825 UNIVERSITY DR.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Public Drunkenness,16-02301,21:22,2016-07-15,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Smell of Marijuana,16-02303,23:36,2016-07-15,LITCHFIELD TOWER A / 3955 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02304,09:52,2016-07-16,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02309,17:06,2016-07-16,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft from a Motor Vehicle,16-02310,22:12,2016-07-16,SOLDIERS AND SAILORS / 4101 FIFTH AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02312,04:02,2016-07-17,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02322,15:55,2016-07-18,MAGEE WOMEN'S HOSPITAL / FORBES & HALKET,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-02326,00:45,2016-07-19,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02327,05:21,2016-07-19,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Possession of small amount of Marijuana,16-02329,01:20,2016-07-20,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Assault,16-02331,14:23,2016-07-20,MAGEE WOMEN'S HOSPITAL / FORBES & HALKET,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02336,15:38,2016-07-20,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02334,16:47,2016-07-20,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency - Conduct Referral,16-02337,20:57,2016-07-20,WEBSTER HALL / 101 N. DITHRIDGE ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02339,06:00,2016-07-21,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-02340,10:45,2016-07-21,FORBES STREET MARKET / 3955 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-02341,11:48,2016-07-21,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
